,id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
852,1254107,2021,Sharjah,25-09-2021,League,JO Holder,Sharjah Cricket Stadium,KXIP,SRH,Sunrisers Hyderabad,field,KXIP,runs,5,126,20,N,,RK Illingworth,YC Barde
853,1254098,2021,Abu Dhabi,26-09-2021,League,RA Jadeja,"Zayed Cricket Stadium, Abu Dhabi",KKR,CSK,Kolkata Knight Riders,bat,CSK,wickets,2,172,20,N,,CB Gaffaney,Tapan Sharma
854,1254108,2021,Dubai,26-09-2021,League,GJ Maxwell,Dubai International Cricket Stadium,RCB,MI,Mumbai Indians,field,RCB,runs,54,166,20,N,,AK Chaudhary,MA Gough
855,1254100,2021,Dubai,27-09-2021,League,JJ Roy,Dubai International Cricket Stadium,RR,SRH,Rajasthan Royals,bat,SRH,wickets,7,165,20,N,,KN Ananthapadmanabhan,Navdeep Singh
856,1254092,2021,Sharjah,28-09-2021,League,SP Narine,Sharjah Cricket Stadium,DC,KKR,Kolkata Knight Riders,field,KKR,wickets,3,128,20,N,,Nitin Menon,HAS Khalid
857,1254099,2021,Abu Dhabi,28-09-2021,League,KA Pollard,"Zayed Cricket Stadium, Abu Dhabi",KXIP,MI,Mumbai Indians,field,MI,wickets,6,136,20,N,,S Ravi,VK Sharma
858,1254103,2021,Dubai,29-09-2021,League,YS Chahal,Dubai International Cricket Stadium,RR,RCB,Royal Challengers Bangalore,field,RCB,wickets,7,150,20,N,,AY Dandekar,KN Ananthapadmanabhan
859,1254091,2021,Sharjah,30-09-2021,League,JR Hazlewood,Sharjah Cricket Stadium,SRH,CSK,Chennai Super Kings,field,CSK,wickets,6,135,20,N,,Nitin Menon,YC Barde
860,1254102,2021,Dubai,01-10-2021,League,KL Rahul,Dubai International Cricket Stadium,KKR,KXIP,Punjab Kings,field,KXIP,wickets,5,166,20,N,,KN Ananthapadmanabhan,RK Illingworth
861,1254089,2021,Abu Dhabi,02-10-2021,League,RD Gaikwad,"Zayed Cricket Stadium, Abu Dhabi",CSK,RR,Rajasthan Royals,field,RR,wickets,7,190,20,N,,CB Gaffaney,VK Sharma
862,1254112,2021,Sharjah,02-10-2021,League,AR Patel,Sharjah Cricket Stadium,MI,DC,Delhi Capitals,field,DC,wickets,4,130,20,N,,AK Chaudhary,MA Gough
863,1254090,2021,Sharjah,03-10-2021,League,GJ Maxwell,Sharjah Cricket Stadium,RCB,KXIP,Royal Challengers Bangalore,bat,RCB,runs,6,165,20,N,,KN Ananthapadmanabhan,RK Illingworth
864,1254109,2021,Dubai,03-10-2021,League,Shubman Gill,Dubai International Cricket Stadium,SRH,KKR,Sunrisers Hyderabad,bat,KKR,wickets,6,116,20,N,,J Madanagopal,MA Gough
865,1254110,2021,Dubai,04-10-2021,League,AR Patel,Dubai International Cricket Stadium,CSK,DC,Delhi Capitals,field,DC,wickets,3,137,20,N,,AK Chaudhary,Nitin Menon
866,1254093,2021,Sharjah,05-10-2021,League,NM Coulter-Nile,Sharjah Cricket Stadium,RR,MI,Mumbai Indians,field,MI,wickets,8,91,20,N,,AK Chaudhary,MA Gough
867,1254095,2021,Abu Dhabi,06-10-2021,League,KS Williamson,"Zayed Cricket Stadium, Abu Dhabi",SRH,RCB,Royal Challengers Bangalore,field,SRH,runs,4,142,20,N,,S Ravi,UV Gandhe
868,1254094,2021,Dubai,07-10-2021,League,KL Rahul,Dubai International Cricket Stadium,CSK,KXIP,Punjab Kings,field,KXIP,wickets,6,135,20,N,,K Srinivasan,RK Illingworth
869,1254106,2021,Sharjah,07-10-2021,League,Shivam Mavi,Sharjah Cricket Stadium,KKR,RR,Rajasthan Royals,field,KKR,runs,86,172,20,N,,MA Gough,HAS Khalid
870,1254088,2021,Abu Dhabi,08-10-2021,League,Ishan Kishan,"Zayed Cricket Stadium, Abu Dhabi",MI,SRH,Mumbai Indians,bat,MI,runs,42,236,20,N,,Tapan Sharma,VK Sharma
871,1254101,2021,Dubai,08-10-2021,League,KS Bharat,Dubai International Cricket Stadium,DC,RCB,Royal Challengers Bangalore,field,RCB,wickets,7,165,20,N,,KN Ananthapadmanabhan,Nitin Menon
872,1254114,2021,Dubai,10-10-2021,Qualifier 1,RD Gaikwad,Dubai International Cricket Stadium,DC,CSK,Chennai Super Kings,field,CSK,wickets,4,173,20,N,,Nitin Menon,RK Illingworth
873,1254115,2021,Sharjah,11-10-2021,Eliminator,SP Narine,Sharjah Cricket Stadium,RCB,KKR,Royal Challengers Bangalore,bat,KKR,wickets,4,139,20,N,,CB Gaffaney,VK Sharma
874,1254116,2021,Sharjah,13-10-2021,Qualifier 2,VR Iyer,Sharjah Cricket Stadium,DC,KKR,Kolkata Knight Riders,field,KKR,wickets,3,136,20,N,,KN Ananthapadmanabhan,MA Gough
875,1254117,2021,Dubai,15-10-2021,Final,F du Plessis,Dubai International Cricket Stadium,CSK,KKR,Kolkata Knight Riders,field,CSK,runs,27,193,20,N,,Nitin Menon,RK Illingworth
876,1304047,2022,Mumbai,26-03-2022,League,UT Yadav,"Wankhede Stadium, Mumbai",CSK,KKR,Kolkata Knight Riders,field,KKR,wickets,6,132,20,N,,AK Chaudhary,Nitin Menon
877,1304048,2022,Mumbai,27-03-2022,League,Kuldeep Yadav,"Brabourne Stadium, Mumbai",MI,DC,Delhi Capitals,field,DC,wickets,4,178,20,N,,RJ Tucker,HAS Khalid
